Subject,Age,Year,Sex,Session,Scorer,Task,Scores,Mean_Perspiration,Normalised_PP,Time
21,22,1,Female,Session1,Scorer2,Suturing,17,0.000933202,0.008488968,1200
21,22,1,Female,Session2,Scorer2,Suturing,19,-0.001159026,0.00639674,1200
21,22,1,Female,Session3,Scorer2,Suturing,16,0.001956897,0.009512663,1200
21,22,1,Female,Session4,Scorer2,Suturing,23,0.004036705,0.011592471,1200
21,22,1,Female,Session5,Scorer2,Suturing,26,0.005111483,0.012667249,1115
22,26,2,Female,Session1,Scorer2,Suturing,12,0.00376329,0.011319056,1200
22,26,2,Female,Session2,Scorer2,Suturing,22,0.002940349,0.010496115,1195
22,26,2,Female,Session3,Scorer2,Suturing,26,0.001118991,0.008674756,1155
22,26,2,Female,Session4,Scorer2,Suturing,24,0.001095778,0.008651544,1195
22,26,2,Female,Session5,Scorer2,Suturing,24,0.000767989,0.008323755,1160
24,25,3,Female,Session1,Scorer2,Suturing,20,-0.002538857,0.005016909,1155
24,25,3,Female,Session2,Scorer2,Suturing,22,-0.001865391,0.005690375,1190
24,25,3,Female,Session3,Scorer2,Suturing,22,0.001526848,0.009082614,1090
24,25,3,Female,Session4,Scorer2,Suturing,22,0.00264187,0.010197636,1195
24,25,3,Female,Session5,Scorer2,Suturing,24,7.93638E-05,0.00763513,1180
26,22,1,Female,Session1,Scorer2,Suturing,15,-0.000367012,0.007188754,1200
26,22,1,Female,Session2,Scorer2,Suturing,25,0.000613241,0.008169007,1085
26,22,1,Female,Session3,Scorer2,Suturing,25,0.000512593,0.008068359,1185
26,22,1,Female,Session4,Scorer2,Suturing,20,-0.000114624,0.007441141,865
26,22,1,Female,Session5,Scorer2,Suturing,25,0.000697178,0.008252944,755
